gene,SRR1039508,SRR1039512,SRR1039516,SRR1039520,SRR1039509,SRR1039513,SRR1039517,SRR1039521
TP53,6101,4551,7043,5637,4897,4572,4633,4844
BRCA1,10049,9720,12196,12626,10194,7599,7362,9308
EGFR,6380,6437,7627,7606,7274,4419,5631,5856
MYC,1494,1696,1877,1892,1804,1387,1696,1094
KRAS,6332,5427,7048,5768,5764,4245,4967,4355
PTEN,9198,8377,14201,10665,11466,7027,9340,8386
RB1,4102,3765,4458,4703,4935,3522,2825,2611
AKT1,5038,4355,5594,4817,5086,3422,3936,3418
VEGFA,6679,5324,6411,6010,5522,4689,4981,4376
MTOR,3451,3271,4011,3107,2836,2525,3133,3059
PIK3CA,11127,9646,13571,9815,11220,9448,7863,9837
BRAF,204,198,215,219,208,171,209,192
CDK4,5843,6759,7203,5415,6076,3593,6144,4191
CDK6,2217,2537,2699,2739,2271,1509,1803,2240
BCL2,3943,3157,4369,3943,3129,2271,2723,2679
BAX,1193,1219,1329,1267,1197,1008,1044,898
CASP3,10225,10024,12577,10522,9370,7562,8098,7042
CASP9,371,340,515,382,361,255,400,336
GAPDH,5426,4707,6607,7017,5596,6025,6394,5860
ACTB,6683,7457,8791,7204,7079,9410,6545,7099
TNF,4671,4801,4470,4528,4113,3891,3807,4023
IL6,10280,7827,8005,7542,10288,6522,8151,5931
IL1B,9593,7419,10768,11764,8421,6618,7758,8774
STAT3,3157,3610,3351,3342,4185,2730,3244,2219
JAK2,1079,936,974,1084,1087,799,782,982
NFKB1,7588,5326,5873,7157,5136,4945,6287,4152
TGFB1,10616,12014,13470,10027,10515,7474,9177,9691
WNT1,1885,1689,2090,1815,2091,1290,1738,1855
NOTCH1,5009,3448,3907,3745,4957,3523,4079,3242
HIF1A,1183,1063,1106,993,843,841,873,771
ERBB2,6404,4286,6561,6112,6023,3581,4649,5070
FGFR1,380,388,461,407,414,347,362,420
PDGFRA,2591,2494,2922,2351,2221,2126,2183,2363
KIT,10076,9780,12853,9323,11272,8284,8634,9312
MET,4054,3850,5503,5642,4370,3881,3854,3743
ALK,4134,3444,3892,4345,3972,2358,3938,2942
ROS1,530,459,550,553,486,352,334,373
RET,9430,6530,10045,8770,7096,6212,5695,7301
RAF1,482,502,608,447,558,348,479,339
MAP2K1,3314,4109,3737,4202,3711,3032,3624,2438
MAPK1,2572,1812,2184,2628,2048,1506,1803,1538
MAPK3,13038,8520,11417,13170,12279,9126,9449,10563
APC,11903,9258,12272,13247,12458,9380,9459,10669
SMAD4,4936,5056,5376,5299,4156,2866,4172,3158
CDKN2A,6163,5807,4874,5524,5671,4430,5067,3789
MDM2,9661,6737,7911,7846,8450,7357,6959,7247
FOS,4640,3740,4952,4150,3577,2436,3119,2673
JUN,3010,2665,3260,2996,2719,1607,1887,2387
MMP2,4553,4206,3701,4323,3807,2509,3737,2946
MMP9,8974,8716,9958,9425,7815,7674,9242,6080
CRISPLD2,3490,4512,5061,4180,19117,13554,11806,15176
DUSP1,2528,1597,2275,2529,4379,7942,6770,5834
SERPINA1,3726,4003,4602,5272,9765,16436,9000,15880
PER1,2697,2876,2963,2860,17023,7262,10962,8011
NFKBIA,568,481,431,496,1049,1709,998,1614
KLF2,12305,9664,14442,10699,50697,19458,25709,42397
TSC22D3,8624,7320,9453,7110,25957,11635,18359,24453
FKBP5,11695,7864,11656,10759,23559,19699,36935,41015
ZBTB16,8077,8088,11641,9808,18518,18061,23936,24965
GENE_LOW_001,45,36,50,49,45,27,36,37
GENE_LOW_002,7,4,7,12,4,1,10,7
GENE_LOW_003,9,12,20,14,11,10,12,7
GENE_LOW_004,19,10,17,14,16,11,14,11
GENE_LOW_005,16,10,15,14,16,10,12,14
GENE_LOW_006,40,34,32,39,31,25,34,29
